Author,Company,Download,Title,Before parsing
ETSI,"""European Telecommunications Standards Institute""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196045_scan.pdf,"ETS 300 328, 2nd ed. - RES - Technical characteristics and test conditions for data transmission equipment operating in the 2,4 GHz ISM band and using spread spectrum modulation techniques ","ETS 300 328, 2nd ed. - RES - Technical characteristics and test conditions for data transmission equipment operating in the 2,4 GHz ISM band and using spread spectrum modulation techniques (ETSI, European Telecommunications Standards Institute)"
Kim Breitfelder,"""IEEE""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196046_scan.pdf,Report of review of D3.0 by IEEE SCC10 ,"Report of review of D3.0 by IEEE SCC10 (Kim Breitfelder, IEEE)"
no name,no company,null,null,null
Vic Hayes;Lucent Technologies,"""Lucent Technologies""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196047-1_scan.pdf,Report of Ballot on IEEE P802.11 D3 ,"Report of Ballot on IEEE P802.11 D3 (Vic Hayes, Chair, Lucent Technologies)"
no name,no company,null,null,null
Vic Hayes;Lucent Technologies,"""Lucent Technologies""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196047-2_scan.pdf,Results of Ballot on Draft Standard D3.0 - General comments and comments on first clauses and on annexes ,"Results of Ballot on Draft Standard D3.0 - General comments and comments on first clauses and on annexes (Vic Hayes, Chair, Lucent Technologies)"
Vic Hayes;Lucent Technologies,"""Lucent Technologies""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196047-2R5_scan.pdf,Results of Ballot on Draft Standard D3.0 - General comments and comments on first clauses and on annexes and resolutions ,"Results of Ballot on Draft Standard D3.0 - General comments and comments on first clauses and on annexes and resolutions (Vic Hayes, Chair, Lucent Technologies)"
Vic Hayes;Lucent Technologies,"""Lucent Technologies""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196047-2R6_scan.pdf,Results of Ballot on Draft Standard D3.0 - General comments and comments on first clauses and on annexes and resolutions ,"Results of Ballot on Draft Standard D3.0 - General comments and comments on first clauses and on annexes and resolutions (Vic Hayes, Chair, Lucent Technologies)"
Vic Hayes;Lucent Technologies,"""Lucent Technologies""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196047-3_scan.pdf,Results of Ballot on Draft Standard D3.0 - Comments on clauses 1 through 6 ,"Results of Ballot on Draft Standard D3.0 - Comments on clauses 1 through 6 (Vic Hayes, Chair, Lucent Technologies)"
Vic Hayes;Lucent Technologies,"""Lucent Technologies""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196047-3R5_scan.pdf,Results of Ballot on Draft Standard D3.0 - Comments on clauses 1 through 6 and resolutions ,"Results of Ballot on Draft Standard D3.0 - Comments on clauses 1 through 6 and resolutions (Vic Hayes, Chair, Lucent Technologies)"
